,flag_SF,same_srv_rate,dst_host_srv_count,logged_in,flag_S0,serror_rate,count,service_http,service_private,dst_host_count,class
0,1,1.0,25,0,0,0.0,2,0,0,150,1
1,1,0.08,1,0,0,0.0,13,0,0,255,1
2,0,0.05,26,0,1,1.0,123,0,1,255,0
3,1,1.0,255,1,0,0.2,5,1,0,30,1
4,1,1.0,255,1,0,0.0,30,1,0,255,1
5,0,0.16,19,0,0,0.0,121,0,1,255,0
6,0,0.05,9,0,1,1.0,166,0,1,255,0
7,0,0.14,15,0,1,1.0,117,0,1,255,0
8,0,0.09,23,0,1,1.0,270,0,0,255,0
9,0,0.06,13,0,1,1.0,133,0,1,255,0
10,0,0.06,12,0,0,0.0,205,0,1,255,0
11,0,0.02,13,0,1,1.0,199,0,1,255,0
12,1,1.0,219,1,0,0.0,3,1,0,8,1
13,1,1.0,20,1,0,0.0,2,0,0,2,0
14,0,0.0,1,0,1,1.0,233,0,0,255,0
15,0,0.17,2,0,1,1.0,96,0,0,255,0
16,1,1.0,255,1,0,0.0,8,1,0,91,1
17,1,1.0,16,0,0,0.0,1,0,0,1,0
18,1,1.0,255,1,0,0.0,3,1,0,66,1
19,1,1.0,255,1,0,0.0,9,1,0,157,1
20,0,0.1,23,0,1,1.0,223,0,0,255,0
21,0,0.06,17,0,1,1.0,280,0,1,238,0
22,1,1.0,255,1,0,0.0,8,1,0,87,1
23,1,1.0,1,0,0,0.0,1,0,0,255,1
24,0,0.01,2,0,1,1.0,248,0,0,255,0
25,1,1.0,25,1,0,0.0,1,0,0,255,1
26,0,0.03,13,0,1,1.0,279,0,1,255,0
27,1,1.0,255,1,0,0.0,5,1,0,43,1
28,1,1.0,255,1,0,0.0,14,1,0,255,1
29,1,1.0,255,1,0,0.0,33,1,0,255,1
30,1,1.0,53,0,0,0.0,1,0,0,1,0
31,0,0.28,59,0,1,1.0,57,0,0,255,0
32,1,1.0,255,1,0,0.0,9,1,0,9,1
33,0,0.5,1,0,0,0.0,2,0,1,255,0
34,1,1.0,250,0,0,0.0,181,0,0,255,1
35,1,1.0,5,0,0,0.0,2,0,1,41,1
36,1,1.0,255,0,0,0.0,122,0,0,255,1
37,0,0.08,17,0,1,1.0,205,0,0,255,0
38,1,1.0,255,1,0,0.0,22,1,0,255,1
39,0,0.06,13,0,1,1.0,228,0,0,255,0
40,0,0.22,63,0,1,1.0,50,0,0,255,0
41,0,0.05,9,0,1,1.0,262,0,0,255,0
42,1,1.0,147,1,0,0.0,1,0,0,181,1
43,1,0.5,2,0,0,0.0,4,0,0,255,1
44,1,1.0,255,1,0,0.0,11,1,0,255,1
45,0,0.1,11,0,1,1.0,108,0,0,255,0
46,1,1.0,80,0,0,0.0,80,0,1,255,0
47,1,1.0,255,1,0,0.02,44,1,0,255,1
48,1,1.0,38,1,0,0.0,2,0,0,4,0
49,0,0.07,5,0,1,1.0,258,0,0,255,0
50,1,1.0,255,1,0,0.0,10,1,0,131,1
51,0,0.07,4,0,0,0.0,61,0,1,255,0
52,1,1.0,2,0,0,0.0,2,0,1,255,0
53,1,1.0,255,1,0,0.0,26,1,0,26,1
54,1,1.0,245,0,0,0.0,120,0,0,255,1
55,1,1.0,212,0,0,0.0,73,0,0,122,1
56,1,1.0,46,0,0,0.0,1,0,0,2,0
57,0,0.07,11,0,1,1.0,135,0,0,255,0
58,0,0.5,59,0,1,1.0,24,0,0,255,0
59,1,1.0,255,0,0,0.0,148,0,0,255,1
60,1,1.0,48,1,0,0.0,2,0,0,175,1
61,0,0.02,4,0,0,0.0,206,0,1,255,0
62,0,0.01,1,0,0,0.1,175,0,1,255,0
63,1,1.0,255,1,0,0.0,4,1,0,255,1
64,0,0.16,10,0,0,0.0,63,0,1,255,0
